Filial;Pagador;Remetente;Origem;UF Origem;Destinatario;Destino;UF Destino;Modal do Frete;Data frete;Documento;Série;Classificação;Volumes;Peso Taxado;Valor NF;Valor Frete;Frete Compra;Frete compra rodoviário;Frete compra aéreo;Manifesto;Manifesto entregas;Manifesto coletas;Manifesto coletas reversa;Manifesto transferências;Manifesto despachos;Manifesto retiradas;Agentes;Agente coleta;Agente entrega;Comissões;Imposto com Difal;Despesa Operacional;Imposto;Imposto com Complementares;Outros Impostos;Seguro;Total Despesas;Margem;% Margem;Tipo de frete;Documento Origem
ENTREGAMAX TAUBATE ;GESTAMP SOROCABA;GESTAMP SOROCABA;Sorocaba;SP;GESTAMP STA ISABEL [GSN];Santa Isabel;SP;Rodoviário;02/02/2026 01:41;68417/48099;"=""1""";;"=""1""";100,000;52,00;3.500,00;0,00;0,00;0,00;1.100,00;1.100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;420,00;0,00;420,00;560,00;140,00;0,00;1.660,00;1.840,00;52,57;Normal;
ENTREGAMAX TAUBATE ;GESTAMP TBT P1 [MBB];GH DO BRASIL;Cabreúva;SP;GESTAMP TBT P1 [MBB];Taubaté;SP;Rodoviário;02/02/2026 09:06;68418/48100;"=""1""";;"=""1""";100,000;3.006,80;1.034,00;0,00;0,00;0,00;643,18;643,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;124,08;0,00;124,08;165,44;41,36;0,00;808,62;225,38;21,80;Normal;
ENTREGAMAX TAUBATE ;GESTAMP TBT P1 [MBB];GESTAMP TBT P1 [MBB];Taubaté;SP;CROMA REVESTIMENTOS TECNICOS LTDA;Guarulhos;SP;Rodoviário;02/02/2026 09:31;68420/48101;"=""1""";;"=""72""";2200,000;78.857,80;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;100,00;Normal;
ENTREGAMAX TAUBATE ;GESTAMP SOROCABA;GESTAMP SOROCABA;Sorocaba;SP;GALUTTI AUTOMOTIVE;Mauá;SP;Rodoviário;02/02/2026 09:31;68422/48103;"=""1""";;"=""1""";100,000;110,00;1.400,00;0,00;0,00;0,00;799,24;799,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;168,00;0,00;168,00;224,00;56,00;0,00;1.023,24;376,76;26,91;Normal;
ENTREGAMAX TAUBATE ;GESTAMP STA ISABEL [GSN];GESTAMP STA ISABEL [GSN];Santa Isabel;SP;REZENDE;Indaiatuba;SP;Rodoviário;02/02/2026 09:34;68421/48102;"=""1""";;"=""20""";500,000;9.360,00;2.156,00;0,00;0,00;0,00;1.671,60;1.671,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;258,72;0,00;258,72;344,96;86,24;0,00;2.016,56;139,44;6,47;Normal;
ENTREGAMAX TAUBATE ;GESTAMP SOROCABA;SIONTI INDUSTRIA METALURGICA LIMITADA;Diadema;SP;GESTAMP SOROCABA;Sorocaba;SP;Rodoviário;02/02/2026 09:37;68423/48104;"=""1""";;"=""6""";402,000;10.263,00;1.900,00;0,00;0,00;0,00;808,34;808,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;228,00;0,00;228,00;304,00;76,00;0,00;1.112,34;787,66;41,46;Normal;
ENTREGAMAX TAUBATE ;GESTAMP STA ISABEL [GSN];FERRAMENTARIA AMERICA LATINA LTDA;Elias Fausto;SP;GESTAMP STA ISABEL [GSN];Santa Isabel;SP;Rodoviário;02/02/2026 09:59;68424/48105;"=""1""";;"=""10""";1600,000;214.008,09;2.200,00;0,00;0,00;0,00;500,00;500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;264,00;0,00;264,00;352,00;88,00;0,00;852,00;1.348,00;61,27;Normal;
ENTREGAMAX TAUBATE ;GESTAMP SJP [GPA];GESTAMP SJP [GPA];São José dos Pinhais;PR;GESTAMP STA ISABEL [GSN];Santa Isabel;SP;Rodoviário;02/02/2026 10:25;7145/48107;"=""2""";;"=""31""";28800,200;257.673,73;6.800,00;0,00;0,00;0,00;3.306,90;3.306,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;816,00;0,00;816,00;1.088,00;272,00;0,00;4.394,90;2.405,10;35,37;Normal;
ENTREGAMAX TAUBATE ;GESTAMP SOROCABA;GESTAMP SOROCABA;Sorocaba;SP;CROMA REVESTIMENTOS TECNICOS LTDA;Guarulhos;SP;Rodoviário;02/02/2026 10:27;68425/48106;"=""1""";;"=""101""";5436,464;49.666,12;1.620,00;0,00;0,00;0,00;1.103,92;1.103,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;194,40;0,00;194,40;259,20;64,80;0,00;1.363,12;256,88;15,86;Normal;
ENTREGAMAX TAUBATE ;GESTAMP TBT P1 [MBB];EMAX LOGISTICA;Taubaté;SP;GESTAMP TBT P1 [MBB];Taubaté;SP;Rodoviário;02/02/2026 10:33;2875/48108;;;"=""40""";40,000;94.900,00;698,25;0,00;0,00;0,00;400,00;400,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36,75;0,00;36,75;64,68;27,93;0,00;464,68;233,57;33,45;Normal;
ENTREGAMAX TAUBATE ;GESTAMP SJP [GPA];PROCOAT PINTURAS TECNICAS LTDA;Curitiba;PR;GESTAMP SJP [GPA];São José dos Pinhais;PR;Rodoviário;02/02/2026 11:08;7146/48113;"=""2""";;"=""1""";1,000;17.582,01;1.950,00;0,00;0,00;0,00;800,00;800,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;234,00;0,00;234,00;312,00;78,00;0,00;1.112,00;838,00;42,97;Normal;
ENTREGAMAX TAUBATE ;GESTAMP STA ISABEL [GSN];GESTAMP STA ISABEL [GSN];Santa Isabel;SP;CONTINENTAL PARAFUSOS S/A;Diadema;SP;Rodoviário;02/02/2026 11:19;68426/48109;"=""1""";;"=""5""";500,000;18.000,00;1.200,00;0,00;0,00;0,00;847,13;847,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;144,00;0,00;144,00;192,00;48,00;0,00;1.039,13;160,87;13,41;Normal;
ENTREGAMAX TAUBATE ;GESTAMP SOROCABA;GESTAMP SOROCABA;Sorocaba;SP;TOYOTA BOSHOKU DO BRASIL LTDA.;Sorocaba;SP;Rodoviário;02/02/2026 11:19;2877/48111;;;"=""1""";50,000;2.679,78;774,20;0,00;0,00;0,00;151,00;151,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,80;0,00;15,80;46,77;30,97;0,00;197,77;576,43;74,45;Normal;
ENTREGAMAX TAUBATE ;CAMPO LIMPO S.A [CLSA];ICONIC LUBRIFICANTES S.A;Duque de Caxias;RJ;CAMPO LIMPO S.A [CLSA];Taubaté;SP;Rodoviário;02/02/2026 11:44;7147/48114;"=""2""";;"=""96""";4320,000;2.857,92;3.129,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;375,52;0,00;375,52;500,69;125,17;0,00;500,69;2.628,66;84,00;Normal;
ENTREGAMAX TAUBATE ;GESTAMP SJP [GPA];GESTAMP SJP [GPA];São José dos Pinhais;PR;RGM SERVICE;Curitiba;PR;Rodoviário;02/02/2026 14:08;7148/48115;"=""2""";;"=""2""";11,000;34.000,00;810,00;0,00;0,00;0,00;300,00;300,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;97,20;0,00;97,20;129,60;32,40;0,00;429,60;380,40;46,96;Normal;
ENTREGAMAX TAUBATE ;GESTAMP SOROCABA;GESTAMP SOROCABA;Sorocaba;SP;GALVANOBRAS GALVANOPLASTIA DO BRASI L LTDA;Itu;SP;Rodoviário;02/02/2026 14:15;68427/48116;"=""1""";;"=""57""";2485,450;25.926,00;630,00;0,00;0,00;0,00;550,00;550,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;75,60;0,00;75,60;100,80;25,20;0,00;650,80;-20,80;-3,30;Normal;
ENTREGAMAX TAUBATE ;GESTAMP SJP [GPA];GESTAMP SJP [GPA];São José dos Pinhais;PR;SCHUNK DO BRASIL LTDA;Santo André;SP;Rodoviário;02/02/2026 14:22;7149/48119;"=""2""";;"=""1""";100,000;5.500,00;2.770,00;0,00;0,00;0,00;1.600,00;1.600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;332,40;0,00;332,40;443,20;110,80;0,00;2.043,20;726,80;26,24;Normal;
ENTREGAMAX TAUBATE ;GESTAMP TBT P1 [MBB];GESTAMP TBT P1 [MBB];Taubaté;SP;FILIAL N 10 - GESTAMP PIRACICABA;Piracicaba;SP;Rodoviário;02/02/2026 14:24;68428/48117;"=""1""";;"=""30""";30,000;14.778,30;3.991,00;0,00;0,00;0,00;1.984,93;1.984,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;478,92;0,00;478,92;638,56;159,64;0,00;2.623,49;1.367,51;34,26;Normal;
ENTREGAMAX TAUBATE ;PELZER TBT [PLZRTBT];MARBOW RESINAS LTDA;São Paulo;SP;PELZER TBT [PLZRTBT];Taubaté;SP;Rodoviário;02/02/2026 14:25;68429/48118;"=""1""";;"=""12""";6000,000;94.800,00;539,77;0,00;0,00;0,00;418,97;418,97;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;64,77;0,00;64,77;86,36;21,59;0,00;505,33;34,44;6,38;Normal;
ENTREGAMAX TAUBATE ;PELZER TBT [PLZRTBT];KILLING SA;São Paulo;SP;PELZER TBT [PLZRTBT];Taubaté;SP;Rodoviário;02/02/2026 14:34;68430/48120;"=""1""";;"=""1""";520,120;10.659,60;444,16;0,00;0,00;0,00;36,32;36,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;53,30;0,00;53,30;71,07;17,77;0,00;107,39;336,77;75,82;Normal;
ENTREGAMAX TAUBATE ;PELZER TBT [PLZRTBT];EMBRAVISION TRADING;São Paulo;SP;PELZER TBT [PLZRTBT];Taubaté;SP;Rodoviário;02/02/2026 14:42;68434/48122;"=""1""";;"=""15""";4800,000;51.072,00;922,13;0,00;0,00;0,00;335,18;335,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;110,66;0,00;110,66;147,55;36,89;0,00;482,73;439,40;47,65;Normal;
ENTREGAMAX TAUBATE ;PELZER TBT [PLZRTBT];COLACRIL;São Paulo;SP;PELZER TBT [PLZRTBT];Taubaté;SP;Rodoviário;02/02/2026 14:48;68433/48123;"=""1""";;"=""4""";136,500;4.170,00;436,78;0,00;0,00;0,00;9,53;9,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;52,41;0,00;52,41;69,88;17,47;0,00;79,41;357,37;81,82;Normal;
ENTREGAMAX GRAVATAI;GESTAMP GRAVATAI [GRA];GESTAMP SJP [GPA];São José dos Pinhais;PR;GESTAMP GRAVATAI [GRA];Gravataí;RS;Rodoviário;02/02/2026 14:49;2346/3762;"=""2""";;"=""2""";14630,200;199.970,22;4.000,00;0,00;0,00;0,00;3.073,00;3.073,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;480,00;0,00;480,00;640,00;160,00;0,00;3.713,00;287,00;7,18;Normal;
ENTREGAMAX TAUBATE ;GESTAMP TBT P1 [MBB];GESTAMP TBT P1 [MBB];Taubaté;SP;HWASHIN AUTOMOTIVAS BRASIL;Piracicaba;SP;Rodoviário;02/02/2026 14:58;68436/48126;"=""1""";;"=""3""";918,980;217.529,94;3.991,00;0,00;0,00;0,00;2.353,98;2.353,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;478,92;0,00;478,92;638,56;159,64;0,00;2.992,54;998,46;25,02;Normal;
ENTREGAMAX TAUBATE ;GESTAMP SJP [GPA];LUVATA SAO PAULO - COMERCIO E INDUSTRIA LTDA;Osasco;SP;GESTAMP SJP [GPA];São José dos Pinhais;PR;Rodoviário;02/02/2026 15:27;68435/48124;"=""1""";;"=""1""";257,930;71.640,00;2.030,00;0,00;0,00;0,00;1.100,00;1.100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;243,60;0,00;243,60;324,80;81,20;0,00;1.424,80;605,20;29,81;Normal;
ENTREGAMAX TAUBATE ;GESTAMP TBT P1 [MBB];HBA HUTCHINSON BRASIL AUTOMOTIVE LTDA;Guarulhos;SP;GESTAMP TBT P1 [MBB];Taubaté;SP;Rodoviário;02/02/2026 15:27;68537/48125;"=""1""";;"=""250""";3821,400;188.964,83;1.882,00;0,00;0,00;0,00;997,50;997,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;225,84;0,00;225,84;301,12;75,28;0,00;1.298,62;583,38;31,00;Normal;
ENTREGAMAX TAUBATE ;GESTAMP TBT P1 [MBB];GESTAMP TBT P1 [MBB];Taubaté;SP;HWASHIN AUTOMOTIVAS BRASIL;Piracicaba;SP;Rodoviário;02/02/2026 15:45;68539/48129;"=""1""";;"=""2""";509,640;135.351,08;3.991,00;0,00;0,00;0,00;2.000,00;2.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;478,92;0,00;478,92;638,56;159,64;0,00;2.638,56;1.352,44;33,89;Normal;
ENTREGAMAX TAUBATE ;GESTAMP TBT P1 [MBB];EMAX LOGISTICA;Taubaté;SP;GESTAMP TBT P1 [MBB];Taubaté;SP;Rodoviário;02/02/2026 16:02;2881/48127;;;"=""32""";320,000;95.318,40;698,25;0,00;0,00;0,00;400,00;400,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36,75;0,00;36,75;64,68;27,93;0,00;464,68;233,57;33,45;Normal;
ENTREGAMAX TAUBATE ;GESTAMP SJP [GPA];ENTREGAMAX TAUBATE ;São José dos Pinhais;PR;GESTAMP SJP [GPA];São José dos Pinhais;PR;Rodoviário;02/02/2026 16:06;2880/48128;;;"=""5""";6,500;28.107,89;323,40;0,00;0,00;0,00;200,00;200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,60;0,00;6,60;19,54;12,94;0,00;219,54;103,86;32,12;Normal;
ENTREGAMAX GRAVATAI;GESTAMP GRAVATAI [GRA];GESTAMP GRAVATAI [GRA];Gravataí;RS;GESTAMP SJP [GPA];São José dos Pinhais;PR;Rodoviário;02/02/2026 16:41;1825/3763;"=""1""";;"=""3""";4792,240;75.426,46;4.000,00;0,00;0,00;0,00;3.073,00;3.073,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;480,00;0,00;480,00;640,00;160,00;0,00;3.713,00;287,00;7,18;Normal;
ENTREGAMAX TAUBATE ;GESTAMP SJP [GPA];GESTAMP SJP [GPA];São José dos Pinhais;PR;GESTAMP TBT P1 [MBB];Taubaté;SP;Rodoviário;02/02/2026 16:49;7150/48130;"=""2""";;"=""2""";1301,000;124.616,05;8.800,00;0,00;0,00;0,00;4.974,48;4.974,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.056,00;0,00;1.056,00;1.408,00;352,00;0,00;6.382,48;2.417,52;27,47;Normal;
ENTREGAMAX TAUBATE ;GESTAMP SJP [GPA];GESTAMP SJP [GPA];São José dos Pinhais;PR;TECNOPACKAGING IMPORTACAO E EXPORTACAO LTDA;São Paulo;SP;Rodoviário;02/02/2026 16:53;7151/48131;"=""2""";;"=""1""";1,000;40.000,00;800,00;0,00;0,00;0,00;400,00;400,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;96,00;0,00;96,00;128,00;32,00;0,00;528,00;272,00;34,00;Normal;
ENTREGAMAX TAUBATE ;GESTAMP SOROCABA;CROMA REVESTIMENTOS TECNICOS LTDA;Guarulhos;SP;GESTAMP SOROCABA;Sorocaba;SP;Rodoviário;02/02/2026 16:53;68438/48132;"=""1""";;"=""1""";100,000;1.073,02;1.620,00;0,00;0,00;0,00;735,74;735,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;194,40;0,00;194,40;259,20;64,80;0,00;994,94;625,06;38,58;Normal;
ENTREGAMAX TAUBATE ;CAMPO LIMPO RIB PRETO [CLRP];CAMPO LIMPO RIB PRETO [CLRP];Ribeirão Preto;SP;FMC QUIMICA DO BRASIL LTDA;Uberaba;MG;Rodoviário;02/02/2026 16:56;68439/48133;"=""1""";;"=""1""";3979,800;69.329,38;3.514,07;0,00;0,00;0,00;2.016,38;2.016,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;421,69;0,00;421,69;562,25;140,56;0,00;2.578,63;935,44;26,62;Normal;
ENTREGAMAX TAUBATE ;PELZER SISTEMAS DO BRASIL LTDA;SOCIEDADE ANONIMA FABRIL SCAVONE;Itatiba;SP;PELZER SISTEMAS DO BRASIL LTDA;Gravataí;RS;Rodoviário;02/02/2026 17:32;68440/48134;"=""1""";;"=""2""";73,600;4.392,00;3.000,00;0,00;0,00;0,00;805,53;805,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;360,00;0,00;360,00;480,00;120,00;0,00;1.285,53;1.714,47;57,15;Normal;
ENTREGAMAX TAUBATE ;PELZER SISTEMAS DO BRASIL LTDA;MULTPISO;Itaquaquecetuba;SP;PELZER SISTEMAS DO BRASIL LTDA;Gravataí;RS;Rodoviário;02/02/2026 17:40;68441/48135;"=""1""";;"=""4""";100,000;1.080,00;3.000,00;0,00;0,00;0,00;1.094,47;1.094,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;360,00;0,00;360,00;480,00;120,00;0,00;1.574,47;1.425,53;47,52;Normal;
ENTREGAMAX TAUBATE ;GESTAMP SJP [GPA];DELGA INDUSTRIA E COMERCIO S/A;Jarinu;SP;GESTAMP SJP [GPA];São José dos Pinhais;PR;Rodoviário;02/02/2026 17:41;68446/48140;"=""1""";;"=""4""";4,000;201.650,72;3.770,00;0,00;0,00;0,00;2.129,00;2.129,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;452,40;0,00;452,40;603,20;150,80;0,00;2.732,20;1.037,80;27,53;Normal;
ENTREGAMAX TAUBATE ;CAMPO LIMPO S.A [CLSA];CAMPO LIMPO S.A [CLSA];Taubaté;SP;CTVA PROTECAO DE CULTIVOS LTDA.;Franco da Rocha;SP;Rodoviário;02/02/2026 17:46;68442/48136;"=""1""";;"=""26""";2096,640;52.540,92;3.179,60;0,00;0,00;0,00;1.651,96;1.651,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;381,55;0,00;381,55;508,73;127,18;0,00;2.160,69;1.018,91;32,05;Normal;
